placeholder,Title,Date of Trans,Deemed Execution Day,Transaction Code,empty,Amount,Adq or Disp,Price,Shares Owned after Trans,Direct or Indirect Ownershipt,Nature of Ind Ownershipt,position,name_person,ticker
5,Common Stock,07/06/2021,,C(5),,106081,A,(1),6256099,I,"Held through SLA Eclipse Co-Invest, L.P.(3)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
0,Common Stock,07/06/2021,,C,,824691.0,A,(1),1919993,D,, President,Feiersrtein Matthew David ,EVCM 
1,Common Stock,07/06/2021,,A,,68750.0,A(2),$0,1988743,D,, President,Feiersrtein Matthew David ,EVCM 
2,Common Stock,,,,,,,,150000,I,By Family Trust, President,Feiersrtein Matthew David ,EVCM 
0,COMMON,,,,,,,,209868,D,,,Briggs Andrew J ,FMAO 
1,COMMON,06/18/2021,,S,,1100.0,D,$22.02(1),208768,D,,,Briggs Andrew J ,FMAO 
2,COMMON,06/21/2021,,S,,1700.0,D,$22.01(1),207068,D,,,Briggs Andrew J ,FMAO 
3,COMMON,06/22/2021,,S,,2500.0,D,$21.7(1),204568,D,,,Briggs Andrew J ,FMAO 
4,COMMON,06/24/2021,,S,,2000.0,D,$22.04(1),202568,D,,,Briggs Andrew J ,FMAO 
5,COMMON,06/25/2021,,S,,3001.0,D,$21.75(1),199567,D,,,Briggs Andrew J ,FMAO 
6,COMMON,06/28/2021,,S,,4999.0,D,$22.01(1),"194,568(2)",D,,,Briggs Andrew J ,FMAO 
7,COMMON,,,,,,,,173850,I,By Family Trust,,Briggs Andrew J ,FMAO 
8,COMMON,,,,,,,,283650,I,By Family Trust,,Briggs Andrew J ,FMAO 
9,COMMON,,,,,,,,42311,I,By ESOP,,Briggs Andrew J ,FMAO 
10,COMMON,,,,,,,,232,I,By ESOP (spouse),,Briggs Andrew J ,FMAO 
11,COMMON,,,,,,,,89,I,By ESOP (mother/POA),,Briggs Andrew J ,FMAO 
0,Class A Common Stock,07/06/2021,,S(1),,250,D,$356.41,8140,D,, VP and General Counsel,Newstead Jennifer ,FB 
0,Class A Common Stock,07/06/2021,,C(1),,14423,A,$0(1),313944,D,," Chief Architect, Exec. Chair",Bergman Artur ,FSLY 
1,Class A Common Stock,07/06/2021,,S(2),,1818,D,$56.02(3),312126,D,," Chief Architect, Exec. Chair",Bergman Artur ,FSLY 
2,Class A Common Stock,07/06/2021,,S(2),,11205,D,$56.95(4),300921,D,," Chief Architect, Exec. Chair",Bergman Artur ,FSLY 
3,Class A Common Stock,07/06/2021,,S(2),,1400,D,$57.83(5),299521,D,," Chief Architect, Exec. Chair",Bergman Artur ,FSLY 
0,Common Stock,07/07/2021,,A,,"1,126(1)",A,$0,31178,D,,,Finnie Cindy H. ,FNWB 
0,Common Stock,07/06/2021,,A,,89041.0,A,(1),573978,D,, Chief Executive Officer,Firer Oleg ,NETE 
1,Common Stock,,,,,,,,67312,I,By: Star Equities LLC, Chief Executive Officer,Firer Oleg ,NETE 
0,Common Stock,07/07/2021,,A,,"1,126(1)",A,$0,30872.27,D,,,Tonina Norman J. Jr. ,FNWB 
0,Common Stock - Voting,,,,,,,,51392.17,D,, President Global Consumer  /  Americas & Asia,Foley Brendan M ,MKC 
1,Common Stock - Non Voting,,,,,,,,542.825,D,, President Global Consumer  /  Americas & Asia,Foley Brendan M ,MKC 
0,Common Stock,06/28/2021,,A,,"62,528(1)",A,$0,62528,D,, Chief Medical Officer,Foody Joanne M. ,ESPR 
0,Common Stock,07/07/2021,,S,,6000,D,$3.0783(1),79918,D,, COO of Subsidiary,Severino Paul Jean ,FORD 
0,Common Stock,07/06/2021,,P,,6250,A,$16,6250,D,,,Fountain Nathan B ,ABOS 
0,"Class A Common Stock, par value $0.0001 per share",07/06/2021,,P,,"516,280(1)",A,$10,516280,D(2),,,G3 VRM Holdings LLC ,GGGV 
0,Class A Common Stock,07/06/2021,,S(1),,3184,D,$46.206(2),79492,D,, CAO/Operational CFO,Unruh Jess ,GDOT 
1,Class A Common Stock,07/06/2021,,S(1),,133,D,$46.9645(3),79359,D,, CAO/Operational CFO,Unruh Jess ,GDOT 
0,Common Stock,07/06/2021,,A(1),,308,A,$18.48,144464,D,,,GREYSON JAY KEITH ,PRTS 
0,Common Stock,07/02/2021,,A,,26936.0,A,(1),1287820,D,, CTO,Bonnette Jonathan Eric ,grwc 
1,Common Stock,07/02/2021,,A,,20202.0,A,(2),1308022,D,, CTO,Bonnette Jonathan Eric ,grwc 
2,Common Stock,,,,,,,,1857824,I,Footnote(3), CTO,Bonnette Jonathan Eric ,grwc 
0,Common Stock,,,,,,,,"3,602(1)",D,,,Garza Santos David F ,KSU 
0,Ordinary Shares,07/06/2021,,F,,92(1),D,$1.27,366972,D,, President and COO,Gelone Steven P. ,NBRV 
0,Common Stock,07/06/2021,,F(1),,77315,D,$6.85,440781,D,, Chief Financial Officer,Smull L Lynn ,GEVO 
0,Common Stock,07/06/2021,,F(1),,48932,D,$6.85,308951,D,, VP-General Counsel & Secretary,Williams Geoffrey Thomas Jr. ,GEVO 
0,Common Stock,07/06/2021,,S(1),,400.0,D,$369.1694(2),54599,I,by Trust(3),,Giancarlo Charles H ,ANET 
1,Common Stock,07/06/2021,,S(1),,366.0,D,$371.0424(4),54233,I,by Trust(3),,Giancarlo Charles H ,ANET 
2,Common Stock,07/06/2021,,S(1),,434.0,D,$371.9713(5),53799,I,by Trust(3),,Giancarlo Charles H ,ANET 
3,Common Stock,07/06/2021,,S(1),,400.0,D,$372.9425(6),53399,I,by Trust(3),,Giancarlo Charles H ,ANET 
4,Common Stock,07/06/2021,,S(1),,65.0,D,$373.8,53334,I,by Trust(3),,Giancarlo Charles H ,ANET 
5,Common Stock,,,,,,,,11755,D,,,Giancarlo Charles H ,ANET 
0,Common Stock,07/07/2021,,M,,25000.0,A,$3.81,72960,D,, Chief Executive Officer,Lindberg Eric J. Jr. ,GO 
1,Common Stock,07/07/2021,,S(1),,25000.0,D,$34.45(2),47960,D,, Chief Executive Officer,Lindberg Eric J. Jr. ,GO 
2,Common Stock,,,,,,,,2126670,I,By Lindberg Revocable Trust(3), Chief Executive Officer,Lindberg Eric J. Jr. ,GO 
3,Common Stock,,,,,,,,701500,I,By Lindberg Irrevocable Trust(4), Chief Executive Officer,Lindberg Eric J. Jr. ,GO 
4,Common Stock,,,,,,,,460,I,By child, Chief Executive Officer,Lindberg Eric J. Jr. ,GO 
5,Common Stock,,,,,,,,460,I,By spouse, Chief Executive Officer,Lindberg Eric J. Jr. ,GO 
0,"Common Shares, Par value $0.10 per share",07/06/2021,,S,,35,D,$235.46(1),867,I,By LLC, Chief Executive Officer,Mininberg Julien ,HELE 
1,"Common Shares, Par value $0.10 per share",07/06/2021,,S,,3483,D,$235.46(1),85842,I,By Trust, Chief Executive Officer,Mininberg Julien ,HELE 
2,"Common Shares, Par value $0.10 per share",07/06/2021,,S,,7,D,$236.09(2),860,I,By LLC, Chief Executive Officer,Mininberg Julien ,HELE 
3,"Common Shares, Par value $0.10 per share",07/06/2021,,S,,740,D,$236.09(2),85102,I,By Trust, Chief Executive Officer,Mininberg Julien ,HELE 
4,"Common Shares, Par value $0.10 per share",07/07/2021,,S,,2,D,$235.35(3),858,I,By LLC, Chief Executive Officer,Mininberg Julien ,HELE 
5,"Common Shares, Par value $0.10 per share",07/07/2021,,S,,198,D,$235.35(3),84904,I,By Trust, Chief Executive Officer,Mininberg Julien ,HELE 
6,"Common Shares, Par value $0.10 per share",07/07/2021,,S,,1,D,$236.58,857,I,By LLC, Chief Executive Officer,Mininberg Julien ,HELE 
7,"Common Shares, Par value $0.10 per share",07/07/2021,,S,,99,D,$236.58,84805,I,By Trust, Chief Executive Officer,Mininberg Julien ,HELE 
0,Class A Common Stock,07/06/2021,,C,,15625,A,$0,15625,D,,,Hammonds Kimberly ,ZM 
1,Class A Common Stock,07/06/2021,,S(1),,15625,D,$400.0507(2),0,D,,,Hammonds Kimberly ,ZM 
0,Common Stock,07/06/2021,,S(1),,375,D,$91.53,"25,333(2)",D,, EVP & Chief Commercial Officer,Harris Erik ,RARE 
0,Common Stock,07/06/2021,,M(1),,10000.0,A,$0.99,1619597,D,, President,Hoge Stephen ,MRNA 
1,Common Stock,07/06/2021,,S(1),,10000.0,D,$229.62,1609597,D,, President,Hoge Stephen ,MRNA 
2,Common Stock,,,,,,,,4116,I,"By Valhalla, LLC", President,Hoge Stephen ,MRNA 
3,Common Stock,,,,,,,,151933,I,By Trust(2), President,Hoge Stephen ,MRNA 
0,Common Stock,07/06/2021,,M,,10750,A,$15.84,123879,D,, Chief Operating Officer,Horstmeier Paul ,HCAT 
1,Common Stock,07/06/2021,,S(1),,4058,D,$56.6919(2),119821,D,, Chief Operating Officer,Horstmeier Paul ,HCAT 
2,Common Stock,07/06/2021,,S(1),,6692,D,$57.1949(3),113129,D,, Chief Operating Officer,Horstmeier Paul ,HCAT 
0,Class A Common Stock,07/06/2021,,J(1),,20567,A,(1),8391675,I,See footnote(2)(3),,"Insight Holdings Group, LLC ",ETWO 
1,Class A Common Stock,07/06/2021,,J(1),,4385,A,(1),1789373,I,See footnote(2)(4),,"Insight Holdings Group, LLC ",ETWO 
2,Class A Common Stock,07/06/2021,,J(1),,12796,A,(1),5220857,I,See footnote(2)(5),,"Insight Holdings Group, LLC ",ETWO 
3,Class A Common Stock,07/06/2021,,J(1),,11766,A,(1),4800596,I,See footnote(2)(6),,"Insight Holdings Group, LLC ",ETWO 
0,Class A Common Stock,07/06/2021,,J(1),,20567,A,(1),8391675,I,See footnote(2)(3),,"Insight Venture Associates IX, Ltd. ",ETWO 
1,Class A Common Stock,07/06/2021,,J(1),,4385,A,(1),1789373,I,See footnote(2)(4),,"Insight Venture Associates IX, Ltd. ",ETWO 
0,Class A common stock,07/06/2021,,S,,"19,300(1)",D,$64.25(2),6968211,D,, Chairman,Peterffy Thomas ,IBKR 
1,Class A common stock,07/06/2021,,S,,700(1),D,$64.85(3),6967511,D,, Chairman,Peterffy Thomas ,IBKR 
2,Class A common stock,07/07/2021,,S,,"19,700(1)",D,$64.31(4),6947811,D,, Chairman,Peterffy Thomas ,IBKR 
3,Class A common stock,07/07/2021,,S,,300(1),D,$64.81,6947511,D,, Chairman,Peterffy Thomas ,IBKR 
0,Class A Common,07/07/2021,,S,,7294,D,$59.77(1),8642,D,," EVP, Chief Technology Officer",Matin Aref ,JWA/JWB 
1,Class A Common,07/08/2021,,S,,6040,D,$58.9(2),2602,D,," EVP, Chief Technology Officer",Matin Aref ,JWA/JWB 
0,Common Stock,,,,,,,,"3,602(1)",D,,,Garza Santos David F ,KSU 
0,Class A Common Stock,07/06/2021,,C(1),,2937242.0,A,(1),2937242,I,See Footnotes(3)(4)(6),,KKR Group Partnership L.P. ,LAUR 
1,Class A Common Stock,07/06/2021,,C(1),,62758.0,A,(1),62758,I,See Footnotes(3)(5)(6),,KKR Group Partnership L.P. ,LAUR 
2,Class A Common Stock,,,,,,,,13480107,I,See Footnotes(4)(6),,KKR Group Partnership L.P. ,LAUR 
3,Class A Common Stock,,,,,,,,288021,I,See Footnotes(5)(6),,KKR Group Partnership L.P. ,LAUR 
0,Class A Common Stock,07/06/2021,,C(1),,2937242.0,A,(1),2937242,I,See Footnotes(3)(4)(6),,KKR 2006 Fund ,LAUR 
1,Class A Common Stock,07/06/2021,,C(1),,62758.0,A,(1),62758,I,See Footnotes(3)(5)(6),,KKR 2006 Fund ,LAUR 
2,Class A Common Stock,,,,,,,,13480107,I,See Footnotes(4)(6),,KKR 2006 Fund ,LAUR 
3,Class A Common Stock,,,,,,,,288021,I,See Footnotes(5)(6),,KKR 2006 Fund ,LAUR 
0,Common Stock,07/06/2021,,A,,710(1),A,$0,4057,D,,,Olson Jon A ,KLIC 
0,Common Stock,07/06/2021,,A,,710(1),A,$0,81043,D,,,Yeo Mui Sung ,KLIC 
0,Class A Common Stock,07/06/2021,,C,,43690.0,A,$0.00(1),43690,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
1,Class A Common Stock,07/06/2021,,S(3),,43690.0,D,$69.69(4),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
2,Class A Common Stock,07/06/2021,,C,,28057.0,A,$0.00(1),28057,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
3,Class A Common Stock,07/06/2021,,S(3),,28057.0,D,$70.23(5),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
4,Class A Common Stock,07/06/2021,,C,,2940.0,A,$0.00(1),2940,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
5,Class A Common Stock,07/06/2021,,S(3),,2940.0,D,$71.53(6),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
6,Class A Common Stock,07/06/2021,,C,,1800.0,A,$0.00(1),1800,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
7,Class A Common Stock,07/06/2021,,S(3),,1800.0,D,$72.19(7),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
8,Class A Common Stock,07/07/2021,,C,,36289.0,A,$0.00(1),36289,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
9,Class A Common Stock,07/07/2021,,S(3),,36289.0,D,$65.89(8),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
10,Class A Common Stock,07/07/2021,,C,,11074.0,A,$0.00(1),11074,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
11,Class A Common Stock,07/07/2021,,S(3),,11074.0,D,$67.01(9),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
12,Class A Common Stock,07/07/2021,,C,,24309.0,A,$0.00(1),24309,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
13,Class A Common Stock,07/07/2021,,S(3),,24309.0,D,$67.83(10),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
14,Class A Common Stock,07/07/2021,,C,,7757.0,A,$0.00(1),7757,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
15,Class A Common Stock,07/07/2021,,S(3),,7757.0,D,$68.76(11),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
16,Class A Common Stock,07/07/2021,,C,,3154.0,A,$0.00(1),3154,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
17,Class A Common Stock,07/07/2021,,S(3),,3154.0,D,$69.88(12),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
18,Class A Common Stock,07/08/2021,,C,,2899.0,A,$0.00(1),2899,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
19,Class A Common Stock,07/08/2021,,S(3),,2899.0,D,$63.18(13),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
20,Class A Common Stock,07/08/2021,,C,,47887.0,A,$0.00(1),47887,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
21,Class A Common Stock,07/08/2021,,S(3),,47887.0,D,$64.07(14),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
22,Class A Common Stock,07/08/2021,,C,,54273.0,A,$0.00(1),54273,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
23,Class A Common Stock,07/08/2021,,S(3),,54273.0,D,$64.87(15),0,I,"By MMMK Development, Inc.(2)", CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
24,Class A Common Stock,,,,,,,,123000,D,, CO-CHIEF EXECUTIVE OFFICER,Karanikolas Michael ,RVLV 
0,Common Stock,07/07/2021,,A(1),,63,A,$19.77,"6,459(2)",D,,,Kaye Edward M. MD ,CYTK 
0,Common Stock,07/01/2021,,A,,1322.0,A,$0,77243,D,, Chairman of the Board,Kendall Lloyd W. Jr. ,BCML 
1,Common Stock,,,,,,,,10000,I,By 401(lK) Plan, Chairman of the Board,Kendall Lloyd W. Jr. ,BCML 
0,Common Stock,06/01/2021,,A(1),,15276.0,A,$17.21,486605,D,, Executive Vice President,Kim Howard Hwasaeng ,MCBS 
1,Common Stock,,,,,,,,100000,I,By Spouse, Executive Vice President,Kim Howard Hwasaeng ,MCBS 
0,Common Stock,06/25/2021,,G(1),V,100000.0,D,(2),0,I,By Spouse, Executive Vice President,Kim Howard Hwasaeng ,MCBS 
1,Common Stock,,,,,,,,486605,D,, Executive Vice President,Kim Howard Hwasaeng ,MCBS 
0,Common Stock,07/06/2021,,C,,6122557,A,(1),"6,122,557(2)",I,See footnotes(2)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
1,Common Stock,07/06/2021,,P,,1759332,A,$16,"7,881,889(2)",I,See footnotes(2)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
2,Common Stock,07/06/2021,,C,,1184366,A,(1),"1,184,336(3)",I,See footnotes(3)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
3,Common Stock,07/06/2021,,P,,115668,A,$16,"1,300,034(3)",I,See footnotes(3)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
4,Common Stock,07/06/2021,,C,,588850,A,(1),"588,850(4)",I,See footnotes(4)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
0,Common Stock,07/07/2021,07/07/2021,S,,60000,D,(1),"203,809,547(2)",D,, CEO & CFO,Thompson Kimberly Kraig ,KBLB 
0,"Common Stock, par value $0.01 per share",07/06/2021,,P,,"294,118(1)",A,$16.0225,1363835,I,Held by Platin Capital S.a r.l.(2), Chairman of the Board,Goudet Olivier ,DNUT 
1,"Common Stock, par value $0.01 per share",,,,,,,,529149,D,, Chairman of the Board,Goudet Olivier ,DNUT 
2,"Common Stock, par value $0.01 per share",,,,,,,,20902,I,Held by Spouse, Chairman of the Board,Goudet Olivier ,DNUT 
0,Common Stock,07/08/2021,,M,,4500,A,$3.22,6100,D,," COO, CFO",Kung Winston ,PMVP 
1,Common Stock,07/08/2021,,S(1),,4500,D,$33.75,1600,D,," COO, CFO",Kung Winston ,PMVP 
0,Common Stock,07/06/2021,,X,,285714.0,A,$7,1797638,I,See footnote(1),,LEFF DANIEL V ,FUBO 
1,Common Stock,,,,,,,,3431642,I,See footnote(2),,LEFF DANIEL V ,FUBO 
2,Common Stock,,,,,,,,797724,I,See footnote(3),,LEFF DANIEL V ,FUBO 
0,Diodes Incorporated Common Stock,07/06/2021,,S(1),,1833.0,D,$80.1239(2),385538,D,, President & CEO,LU KEH SHEW ,DIOD 
1,Diodes Incorporated Common Stock - Performance Stock Units,,,,,,,,220519,D,, President & CEO,LU KEH SHEW ,DIOD 
2,Diodes Incorporated Common Stock,,,,,,,,"46,150(3)",I,Custodial, President & CEO,LU KEH SHEW ,DIOD 
3,Diodes Incorporated Common Stock,,,,,,,,421671,I,Lu Grandchildren's Trust, President & CEO,LU KEH SHEW ,DIOD 
4,Diodes Incorporated Common Stock,,,,,,,,55655,I,The Lu Family Foundation, President & CEO,LU KEH SHEW ,DIOD 
5,Diodes Incorporated Common Stock,,,,,,,,4700,I,The Lu 2017 Irrevocable Trust, President & CEO,LU KEH SHEW ,DIOD 
0,Common Stock,02/08/2021,,M(1),,7500,A,$0,271282,D,,,MIR GASPER III ,LUB 
1,Common Stock,07/06/2021,,M(1),,7500,A,$0,278782,D,,,MIR GASPER III ,LUB 
0,Common Stock,02/08/2021,,M(1),,7500,A,$0,312345,D,,,MCKINNEY JOE C ,LUB 
1,Common Stock,07/06/2021,,M(1),,7500,A,$0,319845,D,,,MCKINNEY JOE C ,LUB 
0,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/06/2021,,P,,6994.0,A,$12.61,2710024,I(3),"By: Luxor Capital Partners, LP",,"Luxor Capital Group, LP ",FTCV 
1,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/07/2021,,P,,251.0,A,$12.0368,2710275,I(3),"By: Luxor Capital Partners, LP",,"Luxor Capital Group, LP ",FTCV 
2,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/06/2021,,P,,992.0,A,$12.61,613847,I(4),"By: Luxor Wavefront, LP",,"Luxor Capital Group, LP ",FTCV 
3,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/07/2021,,P,,768.0,A,$12.0368,614615,I(4),"By: Luxor Wavefront, LP",,"Luxor Capital Group, LP ",FTCV 
4,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/06/2021,,P,,53.0,A,$12.61,17145,I(6),"By: Luxor Capital Partners Long Offshore Master Fund, LP",,"Luxor Capital Group, LP ",FTCV 
5,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/07/2021,,P,,33596.0,A,$12.0368,50741,I(6),"By: Luxor Capital Partners Long Offshore Master Fund, LP",,"Luxor Capital Group, LP ",FTCV 
6,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/06/2021,,P,,161.0,A,$12.61,52369,I(7),"By: Luxor Capital Partners Long, LP",,"Luxor Capital Group, LP ",FTCV 
7,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/07/2021,,P,,4784.0,A,$12.0368,57153,I(7),"By: Luxor Capital Partners Long, LP",,"Luxor Capital Group, LP ",FTCV 
8,"Class A Common Stock, par value $0.0001 per share(1)(2)",,,,,,,,1681684,I(5),"By: Luxor Capital Partners Offshore Master Fund, LP",,"Luxor Capital Group, LP ",FTCV 
0,Tejon Ranch Co. Common Stock,07/08/2021,,A,,990,A,$15.21,37850,D,,,Leggio Anthony L. ,TRC 
0,Ordinary Shares(1),07/06/2021,,A,V,154,A,$137.122(2),90199,D,, Chief Development Officer,Leonard Frank X ,NVCR 
0,Common Stock,06/01/2021,,A(1),,1162,A,$17.21,164924,D,,,Lu Feiying ,MCBS 
0,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/06/2021,,P,,6994.0,A,$12.61,2710024,I(3),"By: Luxor Capital Partners, LP",,"Luxor Capital Group, LP ",FTCV 
1,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/07/2021,,P,,251.0,A,$12.0368,2710275,I(3),"By: Luxor Capital Partners, LP",,"Luxor Capital Group, LP ",FTCV 
2,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/06/2021,,P,,992.0,A,$12.61,613847,I(4),"By: Luxor Wavefront, LP",,"Luxor Capital Group, LP ",FTCV 
3,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/07/2021,,P,,768.0,A,$12.0368,614615,I(4),"By: Luxor Wavefront, LP",,"Luxor Capital Group, LP ",FTCV 
4,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/06/2021,,P,,53.0,A,$12.61,17145,I(6),"By: Luxor Capital Partners Long Offshore Master Fund, LP",,"Luxor Capital Group, LP ",FTCV 
5,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/07/2021,,P,,33596.0,A,$12.0368,50741,I(6),"By: Luxor Capital Partners Long Offshore Master Fund, LP",,"Luxor Capital Group, LP ",FTCV 
6,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/06/2021,,P,,161.0,A,$12.61,52369,I(7),"By: Luxor Capital Partners Long, LP",,"Luxor Capital Group, LP ",FTCV 
7,"Class A Common Stock, par value $0.0001 per share(1)(2)",07/07/2021,,P,,4784.0,A,$12.0368,57153,I(7),"By: Luxor Capital Partners Long, LP",,"Luxor Capital Group, LP ",FTCV 
8,"Class A Common Stock, par value $0.0001 per share(1)(2)",,,,,,,,1681684,I(5),"By: Luxor Capital Partners Offshore Master Fund, LP",,"Luxor Capital Group, LP ",FTCV 
0,Common Stock,02/08/2021,,M(1),,7500,A,$0,302188,D,,,MARKANTONIS FRANK ,LUB 
1,Common Stock,07/06/2021,,M(1),,7500,A,$0,309688,D,,,MARKANTONIS FRANK ,LUB 
0,Common Stock - Voting,,,,,,,,51392.17,D,, President Global Consumer  /  Americas & Asia,Foley Brendan M ,MKC 
1,Common Stock - Non Voting,,,,,,,,542.825,D,, President Global Consumer  /  Americas & Asia,Foley Brendan M ,MKC 
0,Common Stock,,,,,,,,"78,693(1)",D,,,MCDONNELL THOMAS A ,KSU 
0,MIND Common Stock,07/08/2021,,P,,20000,A,$1.95(1),61930,D,, Co-CEO and CFO,CAPPS ROBERT P ,MIND 
0,Common Stock,02/08/2021,,M(1),,7500,A,$0,271282,D,,,MIR GASPER III ,LUB 
1,Common Stock,07/06/2021,,M(1),,7500,A,$0,278782,D,,,MIR GASPER III ,LUB 
0,Common Stock,07/06/2021,,M(1),,7500,A,$0,20318,D,,,MORLOCK JOHN B ,LUB 
0,Class A Common Stock,07/06/2021,,M,,18512.0,A,$0.07,133340,D,,,McMahon John Dennis ,SNOW 
1,Class A Common Stock,07/06/2021,,S(1),,18512.0,D,$235.05,114828,D,,,McMahon John Dennis ,SNOW 
2,Class A Common Stock,,,,,,,,125737,I,Trust(2),,McMahon John Dennis ,SNOW 
3,Class A Common Stock,,,,,,,,151188,I,Trust(3),,McMahon John Dennis ,SNOW 
0,Common Stock,06/01/2021,,A(1),,1162,A,$17.21,1078252,D,,,Leung Don ,MCBS 
0,Common Stock,06/01/2021,,A(1),,1162.0,A,$17.21,642524,D,,,Patel Ajit A. ,MCBS 
1,Common Stock,,,,,,,,49088,I,By Spouse,,Patel Ajit A. ,MCBS 
0,Common Stock,06/01/2021,,A(1),,1162,A,$17.21,14924,D,,,Rhee Frank S. ,MCBS 
0,Common Stock,06/01/2021,,A(1),,1162,A,$17.21,594808,D,,,Shim Sam Sang-Koo ,MCBS 
0,Ordinary Shares,07/07/2021,,S(1),,7500.0,D,$54.569(2),1928577,I,By Rock Trustees Limited(3), Chief Executive Officer,Bauer Peter ,MIME 
1,Ordinary Shares,,,,,,,,1351876,I,By Declaration of Trust of Peter Bauer(4), Chief Executive Officer,Bauer Peter ,MIME 
2,Ordinary Shares,,,,,,,,9544,I,By The Bauer Irrevocable Trust - 2020(5), Chief Executive Officer,Bauer Peter ,MIME 
3,Restricted Shares(6),,,,,,,,"2,250(7)",D,, Chief Executive Officer,Bauer Peter ,MIME 
4,Restricted Shares(6),,,,,,,,"9,000(8)",D,, Chief Executive Officer,Bauer Peter ,MIME 
0,Common Stock,07/06/2021,,M,,10000,A,$13.4,10000,D,,,Mnookin Allison ,BILL 
1,Common Stock,07/06/2021,,S(1),,400,D,$180.65(2),9600,D,,,Mnookin Allison ,BILL 
2,Common Stock,07/06/2021,,S(1),,300,D,$182.5233(3),9300,D,,,Mnookin Allison ,BILL 
3,Common Stock,07/06/2021,,S(1),,1200,D,$183.7253(4),8100,D,,,Mnookin Allison ,BILL 
4,Common Stock,07/06/2021,,S(1),,1601,D,$184.9227(5),6499,D,,,Mnookin Allison ,BILL 
5,Common Stock,07/06/2021,,S(1),,2752,D,$185.8075(6),3747,D,,,Mnookin Allison ,BILL 
